"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"1" 2 2 4 1 1 1 2 1 1 1 3 2 3 3 2 2 3 3 2 4 5 4 4 4 5 1 1 3 3 2 3 5 3 3 3 3 55 1 50 95 26 55 55 85 75 91 1 15 85 55 100 100 55 70 70 85 25 70 55 81 90 62 95 55 95 70 75 70 82 95 23 25 65 56 3 1 1 1 1 3 5 1 5 5 5 1 3 3 2 5 1 1 3 5 3 1 5 4 4 5 3 3 1 0 0 0 0
"2" 2 2 5 1 1 1 1 1 2 1 2 1 1 2 1 1 2 4 2 2 3 3 4 4 5 5 2 5 2 3 2 3 3 3 1 4 53 3 7 43 100 6 100 51 60 61 4 3 44 51 42 52 70 100 84 57 60 59 50 50 100 52 100 69 100 100 60 70 100 100 97 4 83 88 3 0 0 0 1 2 4 3 5 2 2 1 3 3 2 2 2 3 5 3 3 1 2 3 4 3 2 4 1 0 0 0 0
"3" 1 2 4 1 1 1 5 2 3 1 2 1 2 2 2 1 2 4 1 1 3 5 7 3 5 3 2 5 1 1 4 2 1 2 2 2 5 5 2 8 5 57 56 6 5 50 4 7 6 8 57 66 55 59 57 91 91 65 81 100 76 58 74 79 58 59 56 55 65 68 65 36 89 56 2 1 1 1 1 3 4 4 3 1 1 2 2 2 2 2 2 2 4 4 4 3 2 3 4 3 3 5 0 1 0 0 0
"4" 3 4 3 1 3 1 5 3 1 1 4 2 3 5 1 5 1 5 2 4 4 3 6 3 5 3 5 2 1 1 3 4 2 5 4 1 1 1 4 1 33 83 8 99 11 25 2 50 0 0 65 15 17 50 1 55 29 7 35 85 2 8 50 51 50 50 1 0 99 19 91 0 92 3 1 0 1 0 0 1 5 6 5 2 2 2 2 2 2 1 4 4 3 5 3 1 1 2 3 5 4 5 0 0 1 0 0
"5" 3 2 4 1 2 1 5 4 5 1 5 5 4 5 2 5 5 5 1 1 2 4 7 2 5 3 2 3 1 1 5 5 5 5 4 3 1 9 4 0 9 38 0 0 1 16 18 0 0 0 4 43 47 14 2 20 57 4 48 79 32 1 28 89 40 18 0 0 25 0 26 0 23 0 2 0 0 0 0 2 3 5 5 1 1 3 1 2 1 1 5 5 1 3 4 3 2 2 5 3 5 5 0 0 0 1 0
"6" 3 1 6 2 1 1 1 1 1 2 2 1 1 1 1 1 2 2 1 5 4 3 3 4 5 5 2 5 2 4 4 1 3 1 3 3 0 0 0 50 100 5 90 20 95 85 0 0 65 0 50 65 10 100 100 50 30 45 0 50 90 75 100 95 100 100 100 100 100 100 45 0 45 50 1 1 1 1 1 2 4 3 4 3 3 1 3 3 1 4 1 2 4 3 5 5 5 5 2 5 2 4 0 0 1 0 0
"7" 2 2 4 2 2 1 2 2 1 2 1 2 1 1 2 1 3 2 2 1 3 4 3 3 5 5 1 5 2 2 1 2 3 2 1 1 4 1 1 60 29 65 62 26 74 65 3 40 51 44 66 51 58 77 76 75 62 55 25 83 77 73 71 73 73 79 61 75 65 64 61 36 65 65 1 0 1 1 0 2 3 1 4 1 3 1 3 3 2 3 1 2 5 4 3 2 3 3 2 3 1 5 1 0 0 0 0
"8" 2 3 3 3 1 2 3 2 2 2 3 4 2 3 1 3 2 2 2 2 3 3 5 2 2 2 3 2 3 2 3 4 2 3 3 3 74 60 46 71 60 75 67 55 6 97 76 88 39 57 78 68 80 66 73 92 78 74 88 82 88 90 61 83 72 64 29 63 27 59 37 3 27 48 3 1 0 1 0 3 2 5 5 2 2 2 2 2 2 2 3 2 2 3 3 3 2 2 4 4 3 3 0 0 0 1 0
"9" 2 1 4 1 1 1 5 5 4 1 3 3 3 5 1 5 1 5 1 1 2 5 6 1 4 1 2 5 1 1 3 4 3 3 4 2 16 0 0 0 50 86 15 69 15 40 0 50 8 0 49 17 45 51 14 61 80 42 51 79 27 40 83 70 82 84 15 0 71 52 70 0 70 38 2 1 1 1 0 1 3 4 5 1 1 2 2 2 2 2 3 4 2 5 2 2 2 2 3 5 4 5 0 1 0 0 0
"10" 3 3 1 5 2 1 2 1 3 4 1 3 3 3 3 2 3 2 1 5 5 1 2 4 5 5 2 5 5 5 1 3 5 1 1 3 0 0 0 84 55 27 75 9 90 57 0 20 80 83 22 83 11 85 100 30 2 55 7 54 78 53 73 45 73 73 100 100 70 70 6 38 35 89 1 0 1 1 1 1 4 2 1 5 5 1 3 3 3 5 1 1 5 3 3 5 5 4 1 3 1 3 1 0 0 0 0
