"IID" "party"
"2" "Democrat"
"3" "Independent"
"5" "Republican"
"9" "Republican"
"10" "Republican"
"11" "Democrat"
"12" "Democrat"
"13" "Democrat"
"15" "Republican"
"16" "Independent"
"18" "Democrat"
"19" "Republican"
"20" "Independent"
"21" "Independent"
"22" "Republican"
"23" "Independent"
"24" "Democrat"
"25" "Independent"
"26" "Independent"
"27" "Independent"
"28" "Republican"
"29" "Independent"
"32" "Democrat"
"33" "Democrat"
"34" "Democrat"
"36" "Independent"
"37" "Democrat"
"38" "Republican"
"39" "Republican"
"40" "Independent"
"42" "Democrat"
"44" "Democrat"
"45" "Independent"
"46" "Independent"
"47" "Democrat"
"49" "Republican"
"50" "Republican"
"51" "Democrat"
"52" "Republican"
"53" "Democrat"
"54" "Democrat"
"55" "Democrat"
"56" "Democrat"
"58" "Democrat"
"59" "Democrat"
"61" "Independent"
"62" "Republican"
"63" "Republican"
"65" "Republican"
"66" "Republican"
"67" "Democrat"
"68" "Independent"
"69" "Democrat"
"70" "Democrat"
"71" "Democrat"
"72" "Democrat"
"73" "Republican"
"74" "Other"
"75" "Independent"
"76" "Independent"
"77" "Democrat"
"78" "Republican"
"79" "Democrat"
"80" "Other"
"81" "Independent"
"82" "Republican"
"83" "Democrat"
"84" "Independent"
"85" "Democrat"
"86" "Independent"
"87" "Republican"
"89" "Democrat"
"90" "Democrat"
"92" "Democrat"
"96" "Democrat"
"97" "Democrat"
"98" "Democrat"
"99" "Democrat"
"100" "Democrat"
"101" "Other"
"103" "Independent"
"104" "Democrat"
"105" "Independent"
"107" "Republican"
"108" "Democrat"
"109" "Independent"
"110" "Republican"
"111" "Republican"
"112" "Independent"
"114" "Democrat"
"115" "Republican"
"116" "Republican"
"120" "Independent"
"121" "Republican"
"122" "Republican"
"123" "Republican"
"124" "Republican"
"125" "Other"
"126" "Democrat"
"127" "Republican"
"128" "Independent"
"129" "Republican"
"131" "Republican"
"132" "Republican"
"133" "Republican"
"134" "Independent"
"135" "Republican"
"137" "Republican"
"139" "Other"
"140" "Independent"
"141" "Democrat"
"142" "Republican"
"143" "Republican"
"144" "Independent"
"145" "Independent"
"146" "Other"
"147" "Democrat"
"148" "Democrat"
"150" "Democrat"
"151" "Republican"
"152" "Independent"
"153" "Republican"
"154" "Republican"
"155" "Democrat"
"156" "Republican"
"158" "Independent"
"159" "Independent"
"160" "Democrat"
"161" "Republican"
"162" "Independent"
"164" "Republican"
"167" "Independent"
"168" "Democrat"
"169" "Independent"
"170" "Democrat"
"171" "Democrat"
"172" "Democrat"
"173" "Independent"
"174" "Democrat"
"175" "Republican"
"176" "Democrat"
"177" "Republican"
"178" "Independent"
"179" "Democrat"
"180" "Independent"
"181" "Democrat"
"183" "Republican"
"184" "Other"
